Lon,Lat,TMI,RTP,RTP_1VD,Gravity,Potassium,Uranium,Thorium
147.6032016212233,-34.67319813914147,27.928303,107.6977,-0.016179238,-180.7898,0.8215597,1.7200704,13.027836
147.60360169491526,-34.67279805455699,25.951626,107.61752,-0.015610559,-182.34589,0.8695711,1.7345862,13.166129
147.60400176860722,-34.672397969972515,23.509657,108.56507,-0.0036738752,-184.6705,0.9688729,1.7493138,13.496822
147.6044018422992,-34.67199788538803,21.215628,110.33386,0.025689298,-187.52252,1.1219244,1.7651749,14.153701
147.60480191599117,-34.67159780080355,19.338448,111.40078,0.04790775,-190.42668,1.2711234,1.75648,14.827023
147.60520198968314,-34.671197716219076,17.924038,110.25929,0.04939593,-192.66928,1.3211638,1.7122905,14.970943
147.6056020633751,-34.6707976316346,16.87808,106.894966,0.037421897,-193.57602,1.2403051,1.6385095,14.64422
147.60600213706707,-34.670397547050115,16.091026,101.93765,0.013678846,-193.03392,1.1250321,1.5699099,14.299209
147.60640221075903,-34.66999746246564,15.476893,96.25483,-0.014834864,-191.86247,1.0938874,1.5548408,14.24459
147.606802284451,-34.66959737788116,14.993725,91.12832,-0.036080267,-191.54759,1.1612214,1.6049595,14.688368
147.60720235814296,-34.66919729329668,14.616465,87.79969,-0.05404587,-193.31355,1.277792,1.6904765,15.47782
147.60760243183495,-34.668797208712206,14.324306,87.790764,-0.047551204,-197.1787,1.3878137,1.7762579,16.009996
147.6080025055269,-34.66839712412772,14.127485,91.088234,0.0005867786,-201.86664,1.4332985,1.8255302,15.917577
147.60840257921888,-34.667997039543245,14.052728,94.02473,0.056074634,-205.68391,1.4153639,1.817546,15.64098
147.60880265291084,-34.66759695495877,14.097157,93.008,0.057665765,-207.68951,1.416631,1.8156332,15.870502
147.6092027266028,-34.66719687037429,14.239886,88.80639,0.015677446,-208.20242,1.48307,1.8789337,16.434746
147.60960280029477,-34.666796785789806,14.47279,84.44865,-0.011843953,-208.22679,1.5606192,1.9504714,16.63745
147.61000287398673,-34.66639670120533,14.72044,81.53732,-0.01924653,-208.50711,1.5968168,1.9764142,16.529608
147.61040294767872,-34.66599661662085,14.812546,79.93039,-0.015764935,-209.39314,1.6079749,1.9760793,16.617664
147.61080302137069,-34.665596532036375,14.635346,78.93866,-0.009578226,-210.83195,1.6014168,1.9530259,16.708961
147.61120309506265,-34.6651964474519,14.259714,77.9538,-0.005241261,-212.80392,1.5335685,1.89116,16.33334
147.6116031687546,-34.66479636286741,13.921258,76.78834,-0.0055183363,-215.14647,1.389477,1.8212469,15.625268
147.61200324244658,-34.664396278282936,13.86906,75.799065,-0.006009056,-217.48172,1.222093,1.7876283,14.946378
147.61240331613854,-34.66399619369846,14.131087,75.20725,-0.00072170876,-219.43637,1.1007317,1.7897203,14.444254
147.6128033898305,-34.66359610911398,14.54629,74.645836,0.0038453576,-220.95155,1.0655289,1.7975311,14.168055
147.6132034635225,-34.6631960245295,14.915061,73.73614,0.003563658,-222.34177,1.1210626,1.7912645,14.176829
147.61360353721446,-34.66279593994502,15.262594,72.36344,0.0010979769,-224.08742,1.2388091,1.7960047,14.517483
147.61400361090642,-34.66239585536054,15.868497,70.197266,-0.008316358,-226.57004,1.3618066,1.8407781,15.142513
147.6144036845984,-34.661995770776066,17.004148,67.64423,-0.03455058,-229.9215,1.4464811,1.8818486,15.838642
147.61480375829035,-34.66159568619159,18.615099,67.388336,-0.045205303,-234.01163,1.5018902,1.8798959,16.299511
